iter	Passed	Remaining
0	574	286461
1	945	235434
2	1295	214611
3	1660	205960
4	2049	202942
5	2412	198660
6	2758	194279
7	3151	193829
8	3563	194382
9	3944	193268
10	4295	190970
11	4652	189194
12	4998	187238
13	5401	187521
14	5809	187846
15	6156	186242
16	6520	185259
17	6906	184943
18	7241	183317
19	7618	182832
20	7984	182113
21	8339	181190
22	8691	180251
23	9061	179723
24	9417	178927
25	9775	178213
26	10107	177074
27	10425	175749
28	10734	174349
29	11094	173807
30	11458	173351
31	11886	173841
32	12269	173632
33	12639	173228
34	13037	173209
35	13402	172741
36	13757	172160
37	14129	171779
38	14497	171366
39	14856	170845
40	15223	170426
41	15584	169945
42	15934	169346
43	16304	168970
44	16660	168460
45	17014	167928
46	17371	167435
47	17756	167203
48	18121	166789
49	18484	166359
50	18828	165761
51	19168	165147
52	19522	164651
53	19869	164106
54	20208	163507
55	20545	162896
56	20867	162183
57	21193	161511
58	21528	160917
59	21899	160597
60	22257	160178
61	22586	159563
62	22959	159256
63	23324	158900
64	23677	158454
65	24024	157981
66	24360	157432
67	24706	156959
68	25032	156362
69	25373	155865
70	25727	155451
71	26067	154957
72	26408	154472
73	26723	153843
74	27064	153362
75	27399	152861
76	27752	152460
77	28112	152096
78	28458	151658
79	28800	151200
80	29137	150721
81	29482	150286
82	29822	149829
83	30172	149426
84	30532	149072
85	30887	148692
86	31225	148232
87	31620	148039
88	32049	148004
89	32424	147711
90	32763	147257
91	33137	146957
92	33515	146674
93	33852	146215
94	34194	145777
95	34542	145365
96	34893	144968
97	35255	144621
98	35565	144059
99	35909	143636
100	36230	143126
101	36587	142763
102	36914	142282
103	37271	141917
104	37599	141444
105	37929	140982
106	38259	140524
107	38605	140123
108	38911	139581
109	39210	139017
110	39542	138575
111	39872	138129
112	40188	137637
113	40611	137507
114	40992	137234
115	41368	136943
116	41726	136591
117	42070	136192
118	42417	135807
119	42806	135555
120	43177	135240
121	43550	134936
122	43890	134524
123	44227	134110
124	44584	133752
125	44939	133391
126	45272	132967
127	45610	132555
128	45956	132169
129	46331	131865
130	46670	131460
131	47006	131048
132	47366	130704
133	47720	130340
134	48075	129983
135	48419	129593
136	48756	129186
137	49100	128799
138	49458	128448
139	49808	128080
140	50145	127675
141	50523	127375
142	50873	127006
143	51229	126651
144	51621	126382
145	51994	126069
146	52354	125722
147	52722	125394
148	53089	125062
149	53445	124706
150	53823	124400
151	54181	124046
152	54518	123647
153	54885	123315
154	55222	122914
155	55570	122540
156	55977	122294
157	56351	121975
158	56707	121618
159	57075	121285
160	57441	120948
161	57833	120665
162	58206	120341
163	58565	119987
164	58923	119632
165	59273	119260
166	59603	118849
167	59956	118485
168	60302	118107
169	60649	117731
170	60982	117329
171	61326	116949
172	61658	116544
173	62017	116193
174	62358	115808
175	62690	115408
176	63032	115024
177	63355	114610
178	63691	114217
179	64025	113823
180	64357	113426
181	64713	113071
182	65029	112647
183	65357	112243
184	65708	111882
185	66073	111543
186	66414	111165
187	66722	110731
188	67085	110388
189	67504	110138
190	67864	109790
191	68172	109360
192	68515	108985
193	68897	108674
194	69234	108289
195	69602	107954
196	69941	107575
197	70286	107204
198	70623	106822
199	70988	106482
200	71362	106155
201	71712	105794
202	72052	105416
203	72413	105070
204	72752	104693
205	73120	104356
206	73448	103963
